Data,"Tipo Residuo","Peso"
2014-11-23,"Indiferenciado","203080,00"
2014-11-23,"Residuos Limpeza","140,00"
2014-11-23,"Papel","2840,00"
2014-11-22,"Indiferenciado","292980,00"
2014-11-22,"Vidro","10720,00"
2014-11-22,"Monstros","6080,00"
2014-11-22,"Cortes de Jardim","99120,00"
2014-11-22,"Papel","6040,00"
2014-11-22,"Plastico","6380,00"
2014-11-22,"Residuos Limpeza","36000,00"
2014-11-21,"Papel","1780,00"
2014-11-21,"Cortes de Jardim","116560,00"
2014-11-21,"Indiferenciado","222080,00"
2014-11-21,"Vidro","7020,00"
2014-11-21,"Residuos Limpeza","14720,00"
2014-11-21,"Monstros","9640,00"
2014-11-21,"Plastico","9740,00"
2014-11-20,"Vidro","8200,00"
2014-11-20,"Indiferenciado","161560,00"
2014-11-20,"Plastico","1620,00"
2014-11-20,"Cortes de Jardim","96920,00"
2014-11-20,"Papel","15500,00"
2014-11-20,"Monstros","7020,00"
2014-11-20,"Residuos Limpeza","23800,00"
2014-11-19,"Vidro","4740,00"
2014-11-19,"Plastico","5380,00"
2014-11-19,"Indiferenciado","199160,00"
2014-11-19,"Cortes de Jardim","75580,00"
2014-11-19,"Papel","11120,00"
2014-11-19,"Residuos Limpeza","41720,00"
2014-11-19,"Monstros","6680,00"
2014-11-18,"Papel","2100,00"
2014-11-18,"Cortes de Jardim","75540,00"
2014-11-18,"Residuos Limpeza","23740,00"
2014-11-18,"Plastico","18720,00"
2014-11-18,"Monstros","8840,00"
2014-11-18,"Indiferenciado","243060,00"
2014-11-18,"Vidro","3700,00"
2014-11-17,"Residuos Limpeza","47700,00"
2014-11-17,"Cortes de Jardim","107920,00"
2014-11-17,"Plastico","780,00"
2014-11-17,"Indiferenciado","230020,00"
2014-11-17,"Vidro","6880,00"
2014-11-17,"Monstros","8660,00"
2014-11-17,"Papel","32980,00"
2014-11-16,"Indiferenciado","210520,00"
2014-11-16,"Papel","2760,00"
2014-11-15,"Indiferenciado","238440,00"
2014-11-15,"Vidro","12960,00"
2014-11-15,"Plastico","3280,00"
2014-11-15,"Monstros","4400,00"
2014-11-15,"Residuos Limpeza","35300,00"
2014-11-15,"Papel","4680,00"
2014-11-15,"Cortes de Jardim","87080,00"
2014-11-14,"Indiferenciado","225220,00"
2014-11-14,"Vidro","7140,00"
2014-11-14,"Cortes de Jardim","80680,00"
2014-11-14,"Papel","1960,00"
2014-11-14,"Plastico","12200,00"
2014-11-14,"Monstros","9900,00"
2014-11-14,"Residuos Limpeza","56940,00"
2014-11-13,"Vidro","11340,00"
2014-11-13,"Indiferenciado","211680,00"
2014-11-13,"Monstros","8700,00"
2014-11-13,"Residuos Limpeza","47120,00"
2014-11-13,"Papel","18640,00"
2014-11-13,"Plastico","1820,00"
2014-11-13,"Cortes de Jardim","84640,00"
2014-11-12,"Papel","10460,00"
2014-11-12,"Cortes de Jardim","103000,00"
2014-11-12,"Indiferenciado","242720,00"
2014-11-12,"Plastico","5620,00"
2014-11-12,"Vidro","13580,00"
2014-11-12,"Monstros","10900,00"
2014-11-12,"Residuos Limpeza","19120,00"
2014-11-11,"Papel","2560,00"
2014-11-11,"Cortes de Jardim","114620,00"
2014-11-11,"Indiferenciado","198200,00"
2014-11-11,"Vidro","5460,00"
2014-11-11,"Monstros","7900,00"
2014-11-11,"Plastico","17920,00"
2014-11-11,"Residuos Limpeza","21320,00"
2014-11-10,"Vidro","12540,00"
2014-11-10,"Monstros","10740,00"
2014-11-10,"Residuos Limpeza","15960,00"
2014-11-10,"Cortes de Jardim","82440,00"
2014-11-10,"Plastico","1040,00"
2014-11-10,"Papel","31720,00"
2014-11-10,"Indiferenciado","226760,00"
2014-11-09,"Papel","2900,00"
2014-11-09,"Indiferenciado","212960,00"
2014-11-08,"Monstros","4720,00"
2014-11-08,"Residuos Limpeza","35880,00"
2014-11-08,"Papel","7140,00"
2014-11-08,"Cortes de Jardim","71840,00"
2014-11-08,"Plastico","2840,00"
2014-11-08,"Indiferenciado","224940,00"
2014-11-08,"Vidro","13700,00"
2014-11-07,"Cortes de Jardim","100400,00"
2014-11-07,"Monstros","12020,00"
2014-11-07,"Plastico","11020,00"
2014-11-07,"Residuos Limpeza","4900,00"
2014-11-07,"Indiferenciado","228740,00"
2014-11-07,"Vidro","3880,00"
2014-11-07,"Papel","2340,00"
2014-11-06,"Indiferenciado","237340,00"
2014-11-06,"Residuos Limpeza","19680,00"
2014-11-06,"Monstros","11560,00"
2014-11-06,"Papel","18880,00"
2014-11-06,"Plastico","1460,00"
2014-11-06,"Cortes de Jardim","93380,00"
2014-11-05,"Residuos Limpeza","18120,00"
2014-11-05,"Vidro","4780,00"
2014-11-05,"Indiferenciado","215420,00"
2014-11-05,"Cortes de Jardim","84980,00"
2014-11-05,"Papel","16140,00"
2014-11-05,"Monstros","8140,00"
2014-11-05,"Plastico","2220,00"
2014-11-04,"Indiferenciado","218480,00"
2014-11-04,"Vidro","6160,00"
2014-11-04,"Monstros","9800,00"
2014-11-04,"Plastico","18820,00"
2014-11-04,"Residuos Limpeza","25060,00"
2014-11-04,"Papel","2740,00"
2014-11-04,"Cortes de Jardim","126460,00"
2014-11-03,"Indiferenciado","218580,00"
2014-11-03,"Vidro","12740,00"
2014-11-03,"Monstros","13240,00"
2014-11-03,"Cortes de Jardim","112940,00"
2014-11-03,"Residuos Limpeza","21520,00"
2014-11-03,"Plastico","1580,00"
2014-11-03,"Papel","29420,00"
2014-11-02,"Papel","3260,00"
2014-11-02,"Indiferenciado","236920,00"
2014-11-01,"Plastico","3040,00"
2014-11-01,"Papel","5380,00"
2014-11-01,"Cortes de Jardim","70740,00"
2014-11-01,"Monstros","4380,00"
2014-11-01,"Residuos Limpeza","17860,00"
2014-11-01,"Vidro","14700,00"
2014-11-01,"Indiferenciado","241200,00"
2014-10-31,"Residuos Limpeza","27440,00"
2014-10-31,"Monstros","10300,00"
2014-10-31,"Vidro","10100,00"
2014-10-31,"Plastico","10840,00"
2014-10-31,"Papel","2540,00"
2014-10-31,"Indiferenciado","231520,00"
2014-10-31,"Cortes de Jardim","97540,00"
2014-10-30,"Plastico","2020,00"
2014-10-30,"Residuos Limpeza","4600,00"
2014-10-30,"Indiferenciado","223220,00"
2014-10-30,"Cortes de Jardim","90840,00"
2014-10-30,"Papel","20140,00"
2014-10-30,"Monstros","16000,00"
2014-10-29,"Plastico","4680,00"
2014-10-29,"Residuos Limpeza","19900,00"
2014-10-29,"Cortes de Jardim","102600,00"
2014-10-29,"Papel","10380,00"
2014-10-29,"Monstros","15040,00"
2014-10-29,"Indiferenciado","226020,00"
2014-10-29,"Vidro","18860,00"
2014-10-28,"Residuos Limpeza","7740,00"
2014-10-28,"Indiferenciado","256640,00"
2014-10-28,"Vidro","5520,00"
2014-10-28,"Cortes de Jardim","89040,00"
2014-10-28,"Monstros","11700,00"
2014-10-28,"Plastico","18780,00"
2014-10-28,"Papel","2660,00"
2014-10-27,"Vidro","8180,00"
2014-10-27,"Indiferenciado","221660,00"
2014-10-27,"Residuos Limpeza","25240,00"
2014-10-27,"Plastico","1260,00"
2014-10-27,"Monstros","11280,00"
2014-10-27,"Cortes de Jardim","116120,00"
2014-10-27,"Papel","28320,00"
2014-10-26,"Indiferenciado","228360,00"
2014-10-26,"Papel","3560,00"
2014-10-25,"Indiferenciado","245760,00"
2014-10-25,"Residuos Limpeza","76420,00"
2014-10-25,"Plastico","6000,00"
2014-10-25,"Papel","8360,00"
2014-10-25,"Cortes de Jardim","64300,00"
2014-10-25,"Monstros","5500,00"
2014-10-25,"Vidro","16080,00"
2014-10-24,"Monstros","12240,00"
2014-10-24,"Residuos Limpeza","27320,00"
2014-10-24,"Cortes de Jardim","86260,00"
2014-10-24,"Indiferenciado","233220,00"
2014-10-24,"Vidro","3940,00"
2014-10-24,"Papel","2500,00"
2014-10-24,"Plastico","11620,00"
2014-10-23,"Monstros","12720,00"
2014-10-23,"Vidro","9460,00"
2014-10-23,"Indiferenciado","232660,00"
2014-10-23,"Residuos Limpeza","12500,00"
2014-10-23,"Plastico","1820,00"
2014-10-23,"Papel","18340,00"
2014-10-23,"Cortes de Jardim","94740,00"
2014-10-22,"Indiferenciado","245100,00"
2014-10-22,"Residuos Limpeza","30920,00"
2014-10-22,"Monstros","10820,00"
2014-10-22,"Vidro","17400,00"
2014-10-22,"Papel","10600,00"
2014-10-22,"Cortes de Jardim","100900,00"
2014-10-22,"Plastico","4780,00"
2014-10-21,"Indiferenciado","246680,00"
2014-10-21,"Monstros","8420,00"
2014-10-21,"Cortes de Jardim","104280,00"
2014-10-21,"Residuos Limpeza","30320,00"
2014-10-21,"Vidro","7000,00"
2014-10-21,"Plastico","19580,00"
2014-10-21,"Papel","4760,00"
2014-10-20,"Indiferenciado","269400,00"
2014-10-20,"Vidro","13640,00"
2014-10-20,"Papel","31760,00"
2014-10-20,"Cortes de Jardim","109660,00"
2014-10-20,"Plastico","1600,00"
2014-10-20,"Residuos Limpeza","34260,00"
2014-10-20,"Monstros","10300,00"
2014-10-19,"Indiferenciado","233760,00"
2014-10-19,"Papel","2960,00"
2014-10-18,"Indiferenciado","232800,00"
2014-10-18,"Cortes de Jardim","71700,00"
2014-10-18,"Vidro","6480,00"
2014-10-18,"Residuos Limpeza","46820,00"
2014-10-18,"Papel","6020,00"
2014-10-18,"Plastico","2920,00"
2014-10-18,"Monstros","7000,00"
2014-10-17,"Papel","3900,00"
2014-10-17,"Cortes de Jardim","109520,00"
2014-10-17,"Monstros","9540,00"
2014-10-17,"Indiferenciado","241660,00"
2014-10-17,"Vidro","7840,00"
2014-10-17,"Plastico","11700,00"
2014-10-17,"Residuos Limpeza","14660,00"
2014-10-16,"Indiferenciado","241080,00"
2014-10-16,"Vidro","10080,00"
2014-10-16,"Plastico","1900,00"
2014-10-16,"Residuos Limpeza","28260,00"
2014-10-16,"Cortes de Jardim","101580,00"
2014-10-16,"Papel","23200,00"
2014-10-16,"Monstros","9300,00"
2014-10-15,"Indiferenciado","247820,00"
2014-10-15,"Vidro","17740,00"
2014-10-15,"Cortes de Jardim","121580,00"
2014-10-15,"Monstros","10400,00"
2014-10-15,"Papel","10860,00"
2014-10-15,"Plastico","5260,00"
2014-10-15,"Residuos Limpeza","11640,00"
2014-10-14,"Papel","2180,00"
2014-10-14,"Cortes de Jardim","86780,00"
2014-10-14,"Residuos Limpeza","18480,00"
2014-10-14,"Indiferenciado","261700,00"
2014-10-14,"Vidro","8120,00"
2014-10-14,"Monstros","10280,00"
2014-10-14,"Plastico","17400,00"
2014-10-13,"Vidro","12480,00"
